latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
40.82939197,-73.86513684,2,23,1.31,1,357,28
40.82137716,-73.87602555,3,33,0.91,1,329,29
40.67445076,-73.86032995,3,6,0.42,1,57,45
40.68021214,-73.84760302,1,2,0.77,1,154,72
40.68549383,-73.85799347,1,9,0.99,2,89,85
40.68582158,-73.83667335,1,0,,1,357,55
40.68278211,-73.85628351,3,7,1.02,1,306,49
40.6894898,-73.84023006,2,83,3.68,2,351,55
40.68337345,-73.84310256,1,0,,1,0,45
40.68559406,-73.84959598,2,45,1.68,1,267,99
40.67656625,-73.84083465,3,61,1.74,1,233,98
40.68449021,-73.86167025,2,4,1.03,1,359,175
40.68285181,-73.85247779,5,3,0.52,2,121,85
40.68509427,-73.85504802,3,2,0.23,1,364,160
40.6726843,-73.84584143,2,0,,1,365,48
40.68325265,-73.85295388,5,18,0.93,2,81,65
40.67973522,-73.84413453,3,28,1.49,1,203,335
40.6852409,-73.84530924,1,1,0.05,1,365,50
40.68819455,-73.83945727,2,138,5.53,2,365,55
40.68867879,-73.84057932,4,23,1.85,1,123,35
40.68580569,-73.8464182,1,8,0.17,2,364,45
40.68571779,-73.84930314,14,0,,1,34,69
40.68345386,-73.83377822,1,11,1.52,1,0,125
40.68399274,-73.85071054,1,56,1.7,1,363,84
40.68791629,-73.83752236,3,11,0.68,1,227,79
40.6843972,-73.8472029,1,2,0.09,2,364,58
40.67948327,-73.85334879,7,0,,1,0,30
40.68286503,-73.85980775,1,6,1.08,1,343,89
40.68246752,-73.84368201,10,0,,1,0,25
40.6808386,-73.84765422,4,29,2.49,2,169,87
40.67237833,-73.83908621,1,27,4.82,1,174,65
40.67365364,-73.84955648,1,11,1.89,1,0,50
40.68165025,-73.84557705,4,26,2.33,2,331,110
40.67923872,-73.84771408,3,46,2.05,1,239,99
40.68288335,-73.86036295,3,11,1.26,1,160,45
40.6904042,-73.83727382,1,50,2.87,1,352,60
40.86196268,-73.90075097,1,13,0.62,1,365,100
40.87020418,-73.89338904,3,1,1,5,171,50
40.86458477,-73.88827367,1,3,0.95,1,322,100
40.87030703,-73.89322088,3,0,,5,160,65
40.85259686,-73.89938304,1,4,1.48,1,169,40
40.85926899,-73.90142454,7,11,1.24,1,286,40
40.85395792,-73.89871812,1,2,0.22,1,0,34
40.86871861,-73.89143751,2,4,1.21,1,349,130
40.87093413,-73.89339673,3,3,1.43,3,351,50
40.87035211,-73.89335298,3,4,3.16,5,176,65
40.86362834,-73.89478723,1,42,5.27,1,304,60
40.86711338,-73.89524814,1,0,,1,0,65
40.85598137,-73.90051521,3,2,0.28,1,0,35
